State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2017,May,12 month-ending,Number of Deaths,4278,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,June,12 month-ending,Number of Deaths,4275,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,July,12 month-ending,Number of Deaths,4236,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,August,12 month-ending,Number of Deaths,4229,100.0,0,*Likely underreported due to incomplete data
AK,Alaska,2015,January,12 month-ending,Number of Drug Overdose Deaths,126,100.0,0,
AK,Alaska,2015,February,12 month-ending,Number of Drug Overdose Deaths,127,100.0,0,
AK,Alaska,2015,March,12 month-ending,Number of Drug Overdose Deaths,125,100.0,0,
AK,Alaska,2015,April,12 month-ending,Number of Drug Overdose Deaths,126,100.0,0,
AK,Alaska,2015,May,12 month-ending,Number of Drug Overdose Deaths,125,100.0,0,
AK,Alaska,2015,June,12 month-ending,Number of Drug Overdose Deaths,121,100.0,0,
AK,Alaska,2015,July,12 month-ending,Number of Drug Overdose Deaths,117,100.0,0,
AK,Alaska,2015,August,12 month-ending,Number of Drug Overdose Deaths,124,100.0,0,
AK,Alaska,2015,September,12 month-ending,Number of Drug Overdose Deaths,125,100.0,0,
AK,Alaska,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100.0,0,
AK,Alaska,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100.0,0,
AK,Alaska,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100.0,0,
AK,Alaska,2016,January,12 month-ending,Number of Drug Overdose Deaths,126,100.0,0,
AK,Alaska,2016,February,12 month-ending,Number of Drug Overdose Deaths,128,100.0,0,
AK,Alaska,2016,March,12 month-ending,Number of Drug Overdose Deaths,125,100.0,0,
AK,Alaska,2016,April,12 month-ending,Number of Drug Overdose Deaths,132,100.0,0,
AK,Alaska,2016,May,12 month-ending,Number of Drug Overdose Deaths,140,100.0,0,
AK,Alaska,2016,June,12 month-ending,Number of Drug Overdose Deaths,138,100.0,0,
AK,Alaska,2016,July,12 month-ending,Number of Drug Overdose Deaths,143,100.0,0,
AK,Alaska,2016,August,12 month-ending,Number of Drug Overdose Deaths,138,100.0,0,
AK,Alaska,2016,September,12 month-ending,Number of Drug Overdose Deaths,131,100.0,0,
AK,Alaska,2016,October,12 month-ending,Number of Drug Overdose Deaths,131,100.0,0.1,
AK,Alaska,2016,November,12 month-ending,Number of Drug Overdose Deaths,133,100.0,0.1,
AK,Alaska,2016,December,12 month-ending,Number of Drug Overdose Deaths,129,100.0,0.1,
AK,Alaska,2017,January,12 month-ending,Number of Drug Overdose Deaths,126,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,February,12 month-ending,Number of Drug Overdose Deaths,124,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,March,12 month-ending,Number of Drug Overdose Deaths,126,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,April,12 month-ending,Number of Drug Overdose Deaths,117,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,May,12 month-ending,Number of Drug Overdose Deaths,119,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,June,12 month-ending,Number of Drug Overdose Deaths,121,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,July,12 month-ending,Number of Drug Overdose Deaths,127,100.0,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,August,12 month-ending,Number of Drug Overdose Deaths,136,100.0,0,*Likely underreported due to incomplete data
AL,Alabama,2015,January,12 month-ending,Number of Deaths,49543,100.0,0.3,
AL,Alabama,2015,February,12 month-ending,Number of Deaths,50004,100.0,0.3,
AL,Alabama,2015,March,12 month-ending,Number of Deaths,50486,100.0,0.3,
AL,Alabama,2015,April,12 month-ending,Number of Deaths,50565,100.0,0.3,
AL,Alabama,2015,May,12 month-ending,Number of Deaths,50516,100.0,0.3,
AL,Alabama,2015,June,12 month-ending,Number of Deaths,50658,100.0,0.3,
AL,Alabama,2015,July,12 month-ending,Number of Deaths,50841,100.0,0.3,
AL,Alabama,2015,August,12 month-ending,Number of Deaths,50930,100.0,0.3,
AL,Alabama,2015,September,12 month-ending,Number of Deaths,51044,100.0,0.3,
AL,Alabama,2015,October,12 month-ending,Number of Deaths,51091,100.0,0.3,
AL,Alabama,2015,November,12 month-ending,Number of Deaths,51093,100.0,0.3,
AL,Alabama,2015,December,12 month-ending,Number of Deaths,50870,100.0,0.3,
AL,Alabama,2016,January,12 month-ending,Number of Deaths,50534,100.0,0.3,
AL,Alabama,2016,February,12 month-ending,Number of Deaths,50555,100.0,0.3,
AL,Alabama,2016,March,12 month-ending,Number of Deaths,50348,100.0,0.3,
AL,Alabama,2016,April,12 month-ending,Number of Deaths,50391,100.0,0.3,
AL,Alabama,2016,May,12 month-ending,Number of Deaths,50511,100.0,0.3,
AL,Alabama,2016,June,12 month-ending,Number of Deaths,50613,100.0,0.3,
AL,Alabama,2016,July,12 month-ending,Number of Deaths,50683,100.0,0.3,
AL,Alabama,2016,August,12 month-ending,Number of Deaths,50756,100.0,0.3,
AL,Alabama,2016,September,12 month-ending,Number of Deaths,50810,100.0,0.3,
AL,Alabama,2016,October,12 month-ending,Number of Deaths,50869,100.0,0.3,
AL,Alabama,2016,November,12 month-ending,Number of Deaths,51110,100.0,0.3,
AL,Alabama,2016,December,12 month-ending,Number of Deaths,51431,100.0,0.3,
AL,Alabama,2017,January,12 month-ending,Number of Deaths,51654,100.0,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Deaths,51542,100.0,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Deaths,51662,100.0,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,April,12 month-ending,Number of Deaths,51787,100.0,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,May,12 month-ending,Number of Deaths,51933,100.0,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,June,12 month-ending,Number of Deaths,51988,100.0,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,July,12 month-ending,Number of Deaths,52007,100.0,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,August,12 month-ending,Number of Deaths,51868,99.5+,0.3,*Likely underreported due to incomplete data
AL,Alabama,2015,January,12 month-ending,Number of Drug Overdose Deaths,715,100.0,0.3,
AL,Alabama,2015,February,12 month-ending,Number of Drug Overdose Deaths,723,100.0,0.3,
AL,Alabama,2015,March,12 month-ending,Number of Drug Overdose Deaths,733,100.0,0.3,
AL,Alabama,2015,April,12 month-ending,Number of Drug Overdose Deaths,738,100.0,0.3,
AL,Alabama,2015,May,12 month-ending,Number of Drug Overdose Deaths,755,100.0,0.3,
AL,Alabama,2015,June,12 month-ending,Number of Drug Overdose Deaths,756,100.0,0.3,
AL,Alabama,2015,July,12 month-ending,Number of Drug Overdose Deaths,743,100.0,0.3,
AL,Alabama,2015,August,12 month-ending,Number of Drug Overdose Deaths,736,100.0,0.3,
AL,Alabama,2015,September,12 month-ending,Number of Drug Overdose Deaths,744,100.0,0.3,
AL,Alabama,2015,October,12 month-ending,Number of Drug Overdose Deaths,730,100.0,0.3,
AL,Alabama,2015,November,12 month-ending,Number of Drug Overdose Deaths,725,100.0,0.3,
AL,Alabama,2015,December,12 month-ending,Number of Drug Overdose Deaths,720,100.0,0.3,
AL,Alabama,2016,January,12 month-ending,Number of Drug Overdose Deaths,706,100.0,0.3,
AL,Alabama,2016,February,12 month-ending,Number of Drug Overdose Deaths,710,100.0,0.3,
AL,Alabama,2016,March,12 month-ending,Number of Drug Overdose Deaths,681,100.0,0.3,
AL,Alabama,2016,April,12 month-ending,Number of Drug Overdose Deaths,676,100.0,0.3,
AL,Alabama,2016,May,12 month-ending,Number of Drug Overdose Deaths,654,100.0,0.3,
AL,Alabama,2016,June,12 month-ending,Number of Drug Overdose Deaths,674,100.0,0.3,
AL,Alabama,2016,July,12 month-ending,Number of Drug Overdose Deaths,681,100.0,0.3,
AL,Alabama,2016,August,12 month-ending,Number of Drug Overdose Deaths,685,100.0,0.3,
AL,Alabama,2016,September,12 month-ending,Number of Drug Overdose Deaths,695,100.0,0.3,
AL,Alabama,2016,October,12 month-ending,Number of Drug Overdose Deaths,704,100.0,0.3,
AL,Alabama,2016,November,12 month-ending,Number of Drug Overdose Deaths,718,100.0,0.3,
AL,Alabama,2016,December,12 month-ending,Number of Drug Overdose Deaths,740,100.0,0.3,
AL,Alabama,2017,January,12 month-ending,Number of Drug Overdose Deaths,761,100.0,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Drug Overdose Deaths,757,100.0,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Drug Overdose Deaths,790,100.0,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,April,12 month-ending,Number of Drug Overdose Deaths,790,100.0,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,May,12 month-ending,Number of Drug Overdose Deaths,807,100.0,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,June,12 month-ending,Number of Drug Overdose Deaths,798,100.0,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,July,12 month-ending,Number of Drug Overdose Deaths,801,100.0,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,August,12 month-ending,Number of Drug Overdose Deaths,799,99.5+,0.3,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Deaths,30122,100.0,0,
AR,Arkansas,2015,February,12 month-ending,Number of Deaths,30332,100.0,0,
AR,Arkansas,2015,March,12 month-ending,Number of Deaths,30387,100.0,0,
AR,Arkansas,2015,April,12 month-ending,Number of Deaths,30444,100.0,0,
AR,Arkansas,2015,May,12 month-ending,Number of Deaths,30602,100.0,0,
AR,Arkansas,2015,June,12 month-ending,Number of Deaths,30722,100.0,0,
AR,Arkansas,2015,July,12 month-ending,Number of Deaths,30685,100.0,0,
AR,Arkansas,2015,August,12 month-ending,Number of Deaths,30884,100.0,0,
AR,Arkansas,2015,September,12 month-ending,Number of Deaths,30931,100.0,0.1,
AR,Arkansas,2015,October,12 month-ending,Number of Deaths,31015,100.0,0.1,
AR,Arkansas,2015,November,12 month-ending,Number of Deaths,31007,100.0,0.1,
AR,Arkansas,2015,December,12 month-ending,Number of Deaths,30986,100.0,0.1,
AR,Arkansas,2016,January,12 month-ending,Number of Deaths,30624,100.0,0.1,
AR,Arkansas,2016,February,12 month-ending,Number of Deaths,30413,100.0,0.1,
AR,Arkansas,2016,March,12 month-ending,Number of Deaths,30421,100.0,0.1,
AR,Arkansas,2016,April,12 month-ending,Number of Deaths,30489,100.0,0.1,
AR,Arkansas,2016,May,12 month-ending,Number of Deaths,30361,100.0,0.1,
AR,Arkansas,2016,June,12 month-ending,Number of Deaths,30434,100.0,0.1,
AR,Arkansas,2016,July,12 month-ending,Number of Deaths,30590,100.0,0.1,
AR,Arkansas,2016,August,12 month-ending,Number of Deaths,30488,100.0,0.1,
AR,Arkansas,2016,September,12 month-ending,Number of Deaths,30540,100.0,0.1,
AR,Arkansas,2016,October,12 month-ending,Number of Deaths,30489,100.0,0.1,
AR,Arkansas,2016,November,12 month-ending,Number of Deaths,30697,100.0,0.1,
AR,Arkansas,2016,December,12 month-ending,Number of Deaths,31028,100.0,0.1,
AR,Arkansas,2017,January,12 month-ending,Number of Deaths,31114,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Deaths,31156,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,March,12 month-ending,Number of Deaths,31305,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,April,12 month-ending,Number of Deaths,31375,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,May,12 month-ending,Number of Deaths,31488,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,June,12 month-ending,Number of Deaths,31543,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,July,12 month-ending,Number of Deaths,31531,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,August,12 month-ending,Number of Deaths,31575,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Drug Overdose Deaths,366,100.0,0,
AR,Arkansas,2015,February,12 month-ending,Number of Drug Overdose Deaths,366,100.0,0,
AR,Arkansas,2015,March,12 month-ending,Number of Drug Overdose Deaths,385,100.0,0,
AR,Arkansas,2015,April,12 month-ending,Number of Drug Overdose Deaths,373,100.0,0,
AR,Arkansas,2015,May,12 month-ending,Number of Drug Overdose Deaths,383,100.0,0,
AR,Arkansas,2015,June,12 month-ending,Number of Drug Overdose Deaths,391,100.0,0,
AR,Arkansas,2015,July,12 month-ending,Number of Drug Overdose Deaths,395,100.0,0,
AR,Arkansas,2015,August,12 month-ending,Number of Drug Overdose Deaths,398,100.0,0,
AR,Arkansas,2015,September,12 month-ending,Number of Drug Overdose Deaths,392,100.0,0.1,
AR,Arkansas,2015,October,12 month-ending,Number of Drug Overdose Deaths,397,100.0,0.1,
AR,Arkansas,2015,November,12 month-ending,Number of Drug Overdose Deaths,389,100.0,0.1,
AR,Arkansas,2015,December,12 month-ending,Number of Drug Overdose Deaths,381,100.0,0.1,
AR,Arkansas,2016,January,12 month-ending,Number of Drug Overdose Deaths,378,100.0,0.1,
AR,Arkansas,2016,February,12 month-ending,Number of Drug Overdose Deaths,379,100.0,0.1,
AR,Arkansas,2016,March,12 month-ending,Number of Drug Overdose Deaths,363,100.0,0.1,
AR,Arkansas,2016,April,12 month-ending,Number of Drug Overdose Deaths,372,100.0,0.1,
AR,Arkansas,2016,May,12 month-ending,Number of Drug Overdose Deaths,376,100.0,0.1,
AR,Arkansas,2016,June,12 month-ending,Number of Drug Overdose Deaths,369,100.0,0.1,
AR,Arkansas,2016,July,12 month-ending,Number of Drug Overdose Deaths,378,100.0,0.1,
AR,Arkansas,2016,August,12 month-ending,Number of Drug Overdose Deaths,383,100.0,0.1,
AR,Arkansas,2016,September,12 month-ending,Number of Drug Overdose Deaths,379,100.0,0.1,
AR,Arkansas,2016,October,12 month-ending,Number of Drug Overdose Deaths,372,100.0,0.1,
AR,Arkansas,2016,November,12 month-ending,Number of Drug Overdose Deaths,378,100.0,0.1,
AR,Arkansas,2016,December,12 month-ending,Number of Drug Overdose Deaths,386,100.0,0.1,
AR,Arkansas,2017,January,12 month-ending,Number of Drug Overdose Deaths,383,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Drug Overdose Deaths,378,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,March,12 month-ending,Number of Drug Overdose Deaths,382,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,April,12 month-ending,Number of Drug Overdose Deaths,384,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,May,12 month-ending,Number of Drug Overdose Deaths,380,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,June,12 month-ending,Number of Drug Overdose Deaths,395,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,July,12 month-ending,Number of Drug Overdose Deaths,391,100.0,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,August,12 month-ending,Number of Drug Overdose Deaths,401,100.0,0.1,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Deaths,52342,100.0,0.3,
AZ,Arizona,2015,February,12 month-ending,Number of Deaths,52371,100.0,0.3,
AZ,Arizona,2015,March,12 month-ending,Number of Deaths,52826,100.0,0.3,
AZ,Arizona,2015,April,12 month-ending,Number of Deaths,53025,100.0,0.3,
AZ,Arizona,2015,May,12 month-ending,Number of Deaths,53225,100.0,0.3,
AZ,Arizona,2015,June,12 month-ending,Number of Deaths,53462,100.0,0.3,
AZ,Arizona,2015,July,12 month-ending,Number of Deaths,53685,100.0,0.3,
AZ,Arizona,2015,August,12 month-ending,Number of Deaths,53907,100.0,0.3,
AZ,Arizona,2015,September,12 month-ending,Number of Deaths,54058,100.0,0.3,
AZ,Arizona,2015,October,12 month-ending,Number of Deaths,54122,100.0,0.2,
AZ,Arizona,2015,November,12 month-ending,Number of Deaths,54421,100.0,0.2,
AZ,Arizona,2015,December,12 month-ending,Number of Deaths,54853,100.0,0.2,
AZ,Arizona,2016,January,12 month-ending,Number of Deaths,54917,100.0,0.2,
AZ,Arizona,2016,February,12 month-ending,Number of Deaths,55755,100.0,0.1,
AZ,Arizona,2016,March,12 month-ending,Number of Deaths,56319,100.0,0.2,
AZ,Arizona,2016,April,12 month-ending,Number of Deaths,56436,100.0,0.2,
AZ,Arizona,2016,May,12 month-ending,Number of Deaths,56522,100.0,0.2,
AZ,Arizona,2016,June,12 month-ending,Number of Deaths,56648,100.0,0.3,
AZ,Arizona,2016,July,12 month-ending,Number of Deaths,56865,100.0,0.3,
AZ,Arizona,2016,August,12 month-ending,Number of Deaths,56960,100.0,0.4,
AZ,Arizona,2016,September,12 month-ending,Number of Deaths,57051,100.0,0.4,
AZ,Arizona,2016,October,12 month-ending,Number of Deaths,57277,100.0,0.5,
AZ,Arizona,2016,November,12 month-ending,Number of Deaths,57252,100.0,0.5,
AZ,Arizona,2016,December,12 month-ending,Number of Deaths,57215,100.0,0.6,
AZ,Arizona,2017,January,12 month-ending,Number of Deaths,57225,100.0,0.6,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Deaths,56612,100.0,0.6,*Likely underreported due to incomplete data
AZ,Arizona,2017,March,12 month-ending,Number of Deaths,56270,100.0,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,April,12 month-ending,Number of Deaths,56452,100.0,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,May,12 month-ending,Number of Deaths,56718,100.0,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,June,12 month-ending,Number of Deaths,57009,100.0,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,July,12 month-ending,Number of Deaths,57211,100.0,0.8,*Likely underreported due to incomplete data
AZ,Arizona,2017,August,12 month-ending,Number of Deaths,57307,100.0,0.8,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Drug Overdose Deaths,1193,100.0,0.3,
AZ,Arizona,2015,February,12 month-ending,Number of Drug Overdose Deaths,1175,100.0,0.3,
AZ,Arizona,2015,March,12 month-ending,Number of Drug Overdose Deaths,1174,100.0,0.3,
AZ,Arizona,2015,April,12 month-ending,Number of Drug Overdose Deaths,1173,100.0,0.3,
AZ,Arizona,2015,May,12 month-ending,Number of Drug Overdose Deaths,1184,100.0,0.3,
AZ,Arizona,2015,June,12 month-ending,Number of Drug Overdose Deaths,1209,100.0,0.3,
AZ,Arizona,2015,July,12 month-ending,Number of Drug Overdose Deaths,1201,100.0,0.3,
AZ,Arizona,2015,August,12 month-ending,Number of Drug Overdose Deaths,1240,100.0,0.3,
AZ,Arizona,2015,September,12 month-ending,Number of Drug Overdose Deaths,1241,100.0,0.3,
AZ,Arizona,2015,October,12 month-ending,Number of Drug Overdose Deaths,1264,100.0,0.2,
AZ,Arizona,2015,November,12 month-ending,Number of Drug Overdose Deaths,1269,100.0,0.2,
AZ,Arizona,2015,December,12 month-ending,Number of Drug Overdose Deaths,1267,100.0,0.2,
AZ,Arizona,2016,January,12 month-ending,Number of Drug Overdose Deaths,1298,100.0,0.2,
AZ,Arizona,2016,February,12 month-ending,Number of Drug Overdose Deaths,1307,100.0,0.1,
AZ,Arizona,2016,March,12 month-ending,Number of Drug Overdose Deaths,1313,100.0,0.2,
AZ,Arizona,2016,April,12 month-ending,Number of Drug Overdose Deaths,1335,100.0,0.2,
AZ,Arizona,2016,May,12 month-ending,Number of Drug Overdose Deaths,1350,100.0,0.2,
AZ,Arizona,2016,June,12 month-ending,Number of Drug Overdose Deaths,1370,100.0,0.3,
AZ,Arizona,2016,July,12 month-ending,Number of Drug Overdose Deaths,1421,100.0,0.3,
AZ,Arizona,2016,August,12 month-ending,Number of Drug Overdose Deaths,1410,100.0,0.4,
AZ,Arizona,2016,September,12 month-ending,Number of Drug Overdose Deaths,1404,100.0,0.4,
AZ,Arizona,2016,October,12 month-ending,Number of Drug Overdose Deaths,1405,100.0,0.5,
AZ,Arizona,2016,November,12 month-ending,Number of Drug Overdose Deaths,1397,100.0,0.5,
AZ,Arizona,2016,December,12 month-ending,Number of Drug Overdose Deaths,1393,100.0,0.6,
AZ,Arizona,2017,January,12 month-ending,Number of Drug Overdose Deaths,1417,100.0,0.6,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Drug Overdose Deaths,1410,100.0,0.6,*Likely underreported due to incomplete data
AZ,Arizona,2017,March,12 month-ending,Number of Drug Overdose Deaths,1426,100.0,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,April,12 month-ending,Number of Drug Overdose Deaths,1412,100.0,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,May,12 month-ending,Number of Drug Overdose Deaths,1427,100.0,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,June,12 month-ending,Number of Drug Overdose Deaths,1440,100.0,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,July,12 month-ending,Number of Drug Overdose Deaths,1426,100.0,0.8,*Likely underreported due to incomplete data
AZ,Arizona,2017,August,12 month-ending,Number of Drug Overdose Deaths,1442,100.0,0.8,*Likely underreported due to incomplete data
CA,California,2015,January,12 month-ending,Number of Deaths,248191,100.0,0.2,
CA,California,2015,February,12 month-ending,Number of Deaths,249920,100.0,0.2,
CA,California,2015,March,12 month-ending,Number of Deaths,251540,100.0,0.2,
CA,California,2015,April,12 month-ending,Number of Deaths,252831,100.0,0.2,
CA,California,2015,May,12 month-ending,Number of Deaths,253858,100.0,0.2,
CA,California,2015,June,12 month-ending,Number of Deaths,254838,100.0,0.2,
CA,California,2015,July,12 month-ending,Number of Deaths,255417,100.0,0.2,
CA,California,2015,August,12 month-ending,Number of Deaths,256464,100.0,0.2,
CA,California,2015,September,12 month-ending,Number of Deaths,257163,100.0,0.3,
CA,California,2015,October,12 month-ending,Number of Deaths,257750,100.0,0.3,
CA,California,2015,November,12 month-ending,Number of Deaths,258808,100.0,0.3,
CA,California,2015,December,12 month-ending,Number of Deaths,260172,100.0,0.4,
CA,California,2016,January,12 month-ending,Number of Deaths,259303,100.0,0.4,
CA,California,2016,February,12 month-ending,Number of Deaths,260508,100.0,0.4,
CA,California,2016,March,12 month-ending,Number of Deaths,261416,100.0,0.4,
CA,California,2016,April,12 month-ending,Number of Deaths,261595,100.0,0.4,
CA,California,2016,May,12 month-ending,Number of Deaths,261557,100.0,0.4,
CA,California,2016,June,12 month-ending,Number of Deaths,261467,100.0,0.4,
CA,California,2016,July,12 month-ending,Number of Deaths,261603,100.0,0.4,
CA,California,2016,August,12 month-ending,Number of Deaths,261781,100.0,0.4,
CA,California,2016,September,12 month-ending,Number of Deaths,262041,100.0,0.4,
CA,California,2016,October,12 month-ending,Number of Deaths,262751,100.0,0.4,
CA,California,2016,November,12 month-ending,Number of Deaths,262360,100.0,0.4,
CA,California,2016,December,12 month-ending,Number of Deaths,263199,100.0,0.4,
CA,California,2017,January,12 month-ending,Number of Deaths,265341,100.0,0.4,*Likely underreported due to incomplete data
CA,California,2017,February,12 month-ending,Number of Deaths,264890,100.0,0.4,*Likely underreported due to incomplete data
CA,California,2017,March,12 month-ending,Number of Deaths,264765,100.0,0.4,*Likely underreported due to incomplete data
CA,California,2017,April,12 month-ending,Number of Deaths,265283,100.0,0.4,*Likely underreported due to incomplete data
CA,California,2017,May,12 month-ending,Number of Deaths,265945,100.0,0.5,*Likely underreported due to incomplete data
CA,California,2017,June,12 month-ending,Number of Deaths,266882,100.0,0.5,*Likely underreported due to incomplete data
CA,California,2017,July,12 month-ending,Number of Deaths,267289,100.0,0.5,*Likely underreported due to incomplete data
CA,California,2017,August,12 month-ending,Number of Deaths,265896,99.5,0.6,*Likely underreported due to incomplete data
CA,California,2015,January,12 month-ending,Number of Drug Overdose Deaths,4603,100.0,0.2,
CA,California,2015,February,12 month-ending,Number of Drug Overdose Deaths,4616,100.0,0.2,
CA,California,2015,March,12 month-ending,Number of Drug Overdose Deaths,4608,100.0,0.2,
CA,California,2015,April,12 month-ending,Number of Drug Overdose Deaths,4625,100.0,0.2,
CA,California,2015,May,12 month-ending,Number of Drug Overdose Deaths,4607,100.0,0.2,
CA,California,2015,June,12 month-ending,Number of Drug Overdose Deaths,4604,100.0,0.2,
CA,California,2015,July,12 month-ending,Number of Drug Overdose Deaths,4628,100.0,0.2,
CA,California,2015,August,12 month-ending,Number of Drug Overdose Deaths,4670,100.0,0.2,
CA,California,2015,September,12 month-ending,Number of Drug Overdose Deaths,4747,100.0,0.3,
CA,California,2015,October,12 month-ending,Number of Drug Overdose Deaths,4784,100.0,0.3,
CA,California,2015,November,12 month-ending,Number of Drug Overdose Deaths,4747,100.0,0.3,
CA,California,2015,December,12 month-ending,Number of Drug Overdose Deaths,4762,100.0,0.4,
CA,California,2016,January,12 month-ending,Number of Drug Overdose Deaths,4745,100.0,0.4,
CA,California,2016,February,12 month-ending,Number of Drug Overdose Deaths,4745,100.0,0.4,
CA,California,2016,March,12 month-ending,Number of Drug Overdose Deaths,4768,100.0,0.4,
