"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2016"	"2016"	"Male"	"M"	"Black or African American"	"2054-5"	32	40019	80.0
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	92	38587	238.4
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	13	35637	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	25	25389	98.5
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	32	28991	110.4
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	15	36213	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2011"	"2011"	"Male"	"M"	"Black or African American"	"2054-5"	18	26486	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	42	29733	141.3
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	16	36541	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2012"	"2012"	"Male"	"M"	"Black or African American"	"2054-5"	22	27496	80.0
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	52	30022	173.2
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2013"	"2013"	"Female"	"F"	"Black or African American"	"2054-5"	13	36826	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	13	36860	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2013"	"2013"	"Male"	"M"	"Black or African American"	"2054-5"	26	28762	90.4
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	41	30529	134.3
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2014"	"2014"	"Female"	"F"	"Black or African American"	"2054-5"	14	38408	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	16	37654	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2014"	"2014"	"Male"	"M"	"Black or African American"	"2054-5"	23	30168	76.2
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	59	30954	190.6
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2015"	"2015"	"Female"	"F"	"Black or African American"	"2054-5"	14	39809	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	20	38409	52.1
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2015"	"2015"	"Male"	"M"	"Black or African American"	"2054-5"	34	31429	108.2
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	55	31662	173.7
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2016"	"2016"	"Female"	"F"	"Black or African American"	"2054-5"	15	40560	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	15	38279	Unreliable
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2016"	"2016"	"Male"	"M"	"Black or African American"	"2054-5"	42	32331	129.9
	"Bronx County, NY"	"36005"	"55-64 years"	"55-64"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	69	31447	219.4
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	15	17792	Unreliable
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	13	18210	Unreliable
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	19	18863	Unreliable
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	18	19122	Unreliable
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2014"	"2014"	"Male"	"M"	"Black or African American"	"2054-5"	12	15470	Unreliable
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	19	19442	Unreliable
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2015"	"2015"	"Male"	"M"	"Black or African American"	"2054-5"	11	16274	Unreliable
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	29	19950	145.4
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	10	27129	Unreliable
	"Bronx County, NY"	"36005"	"65-74 years"	"65-74"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	24	20412	117.6
	"Broome County, NY"	"36007"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	15	9574	Unreliable
	"Broome County, NY"	"36007"	"45-54 years"	"45-54"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	11	11605	Unreliable
	"Broome County, NY"	"36007"	"45-54 years"	"45-54"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	16	11053	Unreliable
	"Broome County, NY"	"36007"	"55-64 years"	"55-64"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	11	12651	Unreliable
	"Broome County, NY"	"36007"	"55-64 years"	"55-64"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	16	12835	Unreliable
	"Chautauqua County, NY"	"36013"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	11	7178	Unreliable
	"Dutchess County, NY"	"36027"	"25-34 years"	"25-34"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	11	13141	Unreliable
	"Dutchess County, NY"	"36027"	"25-34 years"	"25-34"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	10	13425	Unreliable
	"Dutchess County, NY"	"36027"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	10	13778	Unreliable
	"Dutchess County, NY"	"36027"	"35-44 years"	"35-44"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	15	15971	Unreliable
	"Dutchess County, NY"	"36027"	"45-54 years"	"45-54"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	13	21486	Unreliable
	"Dutchess County, NY"	"36027"	"45-54 years"	"45-54"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	14	20977	Unreliable
	"Dutchess County, NY"	"36027"	"45-54 years"	"45-54"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	15	21014	Unreliable
	"Dutchess County, NY"	"36027"	"45-54 years"	"45-54"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	13	20747	Unreliable
	"Dutchess County, NY"	"36027"	"45-54 years"	"45-54"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	12	20496	Unreliable
	"Dutchess County, NY"	"36027"	"45-54 years"	"45-54"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	13	19188	Unreliable
	"Dutchess County, NY"	"36027"	"45-54 years"	"45-54"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	11	18567	Unreliable
	"Dutchess County, NY"	"36027"	"55-64 years"	"55-64"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	11	16223	Unreliable
	"Dutchess County, NY"	"36027"	"55-64 years"	"55-64"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	12	17672	Unreliable
	"Dutchess County, NY"	"36027"	"55-64 years"	"55-64"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	10	18591	Unreliable
	"Erie County, NY"	"36029"	"15-24 years"	"15-24"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	10	52860	Unreliable
	"Erie County, NY"	"36029"	"15-24 years"	"15-24"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	18	52278	Unreliable
	"Erie County, NY"	"36029"	"15-24 years"	"15-24"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	16	48528	Unreliable
	"Erie County, NY"	"36029"	"15-24 years"	"15-24"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	22	47111	46.7
	"Erie County, NY"	"36029"	"15-24 years"	"15-24"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	28	46289	60.5
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	12	43430	Unreliable
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	12	43564	Unreliable
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	18	45089	Unreliable
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	13	46674	Unreliable
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	13	46901	Unreliable
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	23	48572	47.4
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	25	50293	49.7
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	23	48790	47.1
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	71	51316	138.4
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	11	49128	Unreliable
	"Erie County, NY"	"36029"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	74	51857	142.7
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	14	46785	Unreliable
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	12	45752	Unreliable
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	18	43972	Unreliable
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	10	43510	Unreliable
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	20	42739	46.8
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	16	42399	Unreliable
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	24	41876	57.3
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	15	41519	Unreliable
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	13	41183	Unreliable
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	23	40768	56.4
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	41	40714	100.7
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	18	40234	Unreliable
	"Erie County, NY"	"36029"	"35-44 years"	"35-44"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	55	40335	136.4
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	14	61412	Unreliable
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	21	58977	35.6
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	16	60296	Unreliable
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	26	57888	44.9
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	24	59107	40.6
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	31	56700	54.7
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	19	57504	Unreliable
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	35	55242	63.4
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	19	56069	Unreliable
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	36	54097	66.5
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	22	54699	40.2
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	50	52852	94.6
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	26	53230	48.8
	"Erie County, NY"	"36029"	"45-54 years"	"45-54"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	42	51421	81.7
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	18	49392	Unreliable
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	10	54426	Unreliable
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	26	51384	50.6
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	11	54852	Unreliable
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	23	51903	44.3
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	11	56299	Unreliable
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	25	52889	47.3
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	16	57296	Unreliable
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	30	53736	55.8
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	23	58220	39.5
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	38	54501	69.7
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	13	58705	Unreliable
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2016"	"2016"	"Male"	"M"	"Black or African American"	"2054-5"	11	6576	Unreliable
	"Erie County, NY"	"36029"	"55-64 years"	"55-64"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	40	54914	72.8
	"Erie County, NY"	"36029"	"65-74 years"	"65-74"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	13	34634	Unreliable
	"Erie County, NY"	"36029"	"65-74 years"	"65-74"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	18	35827	Unreliable
	"Kings County, NY"	"36047"	"15-24 years"	"15-24"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	10	87246	Unreliable
	"Kings County, NY"	"36047"	"15-24 years"	"15-24"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	11	83881	Unreliable
	"Kings County, NY"	"36047"	"15-24 years"	"15-24"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	10	78397	Unreliable
	"Kings County, NY"	"36047"	"15-24 years"	"15-24"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	16	74170	Unreliable
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	25	117382	21.3
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	12	119587	Unreliable
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	29	121488	23.9
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	33	124998	26.4
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	25	128645	19.4
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	14	129230	Unreliable
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	32	130121	24.6
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	11	130725	Unreliable
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	38	132147	28.8
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	22	130971	16.8
	"Kings County, NY"	"36047"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	64	131849	48.5
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	17	81105	Unreliable
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	38	86227	44.1
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	11	83004	Unreliable
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	37	88106	42.0
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	46	90959	50.6
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	14	88351	Unreliable
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	46	94892	48.5
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	11	90566	Unreliable
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2014"	"2014"	"Male"	"M"	"Black or African American"	"2054-5"	11	52051	Unreliable
	"Kings County, NY"	"36047"	"35-44 years"	"35-44"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	45	96145	46.8
